name,key,parent,tooltip,link
Currency: Cape Verdean escudo,2008,512,,
Currency: CFA franc,2009,513,,
Currency: CFA franc,2010,515,,
Currency: Comorian franc,2011,517,,
Currency: CFA franc,2012,520,,
Currency: CFA franc,2013,521,,
Currency: Congolese franc,2014,523,,
Currency: Djiboutian franc,2015,524,,
Currency: Egyptian pound,2016,526,,
Currency: Equatorial Guinean peseta,2017,527,,
Currency: Tallero,2018,530,,
Currency: Birr,2019,533,,
Currency: CFA franc,2020,534,,
Currency: Gambian dalasi,2021,535,,
Currency: Ghana cedi,2022,536,,
Currency: Guinean franc,2023,537,,
Currency: CFA franc,2024,538,,
Currency: Kenyan shilling,2025,539,,
Currency: Lesotho loti,2026,541,,
Currency: Liberian dollar,2027,543,,
Currency: Dinar,2028,544,,
Currency: Malagasy ariary,2029,545,,
Currency: Kwacha,2030,547,,
Currency: CFA franc,2031,549,,
Currency: Ouguiya,2032,550,,
Currency: Mauritian rupee,2033,551,,
Currency: Euro,2034,554,,
Currency: Moroccan dirham,2035,556,,
Currency: Mozambican metical,2036,558,,
Currency: Namibian dollar,2037,559,,
Currency: CFA franc,2038,560,,
Currency: Naira,2039,561,,
Currency: Euro,2040,562,,
Currency: Rwandan franc,2041,564,,
Currency: Saint Helena pound,2042,567,,
Currency: Dobra,2043,570,,
Currency: CFA franc,2044,571,,
Currency: Seychellois rupee,2045,572,,
Currency: Leone,2046,575,,
Currency: Somali shilling,2047,576,,
Currency: Somaliland shilling,2048,578,,
Currency: South African rand,2049,580,,
Currency: South Sudanese pound,2050,591,,
Currency: Sudanese pound,2051,592,,
Currency: Lilangeni,2052,594,,
Currency: Tanzanian shilling,2053,596,,
Currency: CFA franc,2054,598,,
Currency: Tunisian dinar,2055,599,,
Currency: Ugandan shilling,2056,600,,
"Currency: Moroccan dirham, Algerian dinar, Mauritanian ouguiya",2057,603,,
Currency: Zambian kwacha,2058,606,,
Currency: various,2059,607,,
Official Language: Arabic,3001,501,,
Official Language: Portuguese,3002,502,,
Official Language: French,3003,503,,
"Official Language: English, Setswana",3004,505,,
Official Language: French,3005,507,,
"Official Language: Kirundi, French",3006,508,,
"Official Language: French, English",3007,510,,
Official Language: Portuguese,3008,512,,
"Official Language: French, ",3009,513,,
"Official Language: French, Arabic",3010,515,,
"Official Language: Comorian, Arabic, French",3011,517,,
Official Language: French,3012,520,,
Official Language: French,3013,521,,
Official Language: French,3014,523,,
"Official Language: French, Arabic",3015,524,,
Official Language: Arabic,3016,526,,
"Official Language: Spanish, French, Portuguese",3017,527,,
"Official Language: Tigrinya, Arabic, English",3018,530,,
Official Language: Amharic,3019,533,,
Official Language: French,3020,534,,
Official Language: English,3021,535,,
Official Language: English,3022,536,,
Official Language: French,3023,537,,
Official Language: Portuguese,3024,538,,
"Official Language: Swahili, English",3025,539,,
"Official Language: English, Sesotho",3026,541,,
Official Language: English,3027,543,,
Official Language: Arabic,3028,544,,
"Official Language: Malagasy, French",3029,545,,
"Official Language: English, Chichewa",3030,547,,
Official Language: French,3031,549,,
Official Language: Arabic,3032,550,,
"Official Language: Mauritian Creole, French, English",3033,551,,
Official Language: French,3034,554,,
"Official Language: Arabic, Berber",3035,556,,
Official Language: Portuguese,3036,558,,
Official Language: English,3037,559,,
Official Language: French,3038,560,,
Official Language: English,3039,561,,
Official Language: French,3040,562,,
"Official Language: Kinyarwanda, English, French",3041,564,,
Official Language: English,3042,567,,
Official Language: Portuguese,3043,570,,
Official Language: French,3044,571,,
"Official Language: Seychellois Creole, French, English",3045,572,,
Official Language: English,3046,575,,
"Official Language: Somali, Arabic",3047,576,,
"Official Language: Somali, Arabic",3048,578,,
"Official Language: Afrikaans, English, Southern Ndebele, Northern Sotho, Southern Sotho, Swazi, Tsonga, Tswana, Venda, Xhosa, Zulu",3049,580,,
Official Language: English,3050,591,,
"Official Language: Arabic, English",3051,592,,
"Official Language: English, Swati",3052,594,,
"Official Language: Swahili, English",3053,596,,
Official Language: French,3054,598,,
Official Language: Arabic,3055,599,,
"Official Language: Swahili, English, Luganda",3056,600,,
Official Language: See respective claimants,3057,603,,
Official Language: English,3058,606,,
"Official Language: English, Shona, Sindebele",3059,607,,
